schrankenberggasse;60200001;16.3898073;48.1738011
achengasse;60200002;16.4489254;48.2844601
ada christen gasse;60200003;16.3860433;48.1528296
adam betz gasse;60200004;16.5354691;48.2155806
adamovichgasse;60200005;16.3386213;48.1426643
adolf loos gasse;60200006;16.4541985;48.2773939
adolf unger gasse;60200007;16.3858816;48.1486762
afritschgasse;60200008;16.4516922;48.2470978
agavenweg;60200009;16.5064805;48.2510997
neustift, agnesgasse;60200010;16.3075665;48.2504477
aignerstraße;60200011;16.3749491;48.2462843
auf der schmelz;60200012;16.3166215;48.2036497
morzinplatz;60200013;16.374491;48.2131144
alaudagasse;60200014;16.3823243;48.1538904
albern;60200015;16.4849299;48.1600507
alberner hafen;60200016;16.4945508;48.1583969
alberner hafenzufahrtsstraße;60200017;16.4724792;48.1720937
alberner straße;60200018;16.4845346;48.1563654
albertgasse;60200019;16.3440381;48.2106062
albertinaplatz;60200020;16.3685352;48.2049608
carminweg;60200021;16.4210597;48.2531812
algenweg;60200022;16.5314806;48.2487967
allerheiligengasse;60200023;16.3863847;48.2387881
allissen;60200024;16.4306806;48.2863609
alois behr straße;60200025;16.2412169;48.2058409
alsegger straße;60200026;16.324365;48.2316857
alser straße;60200027;16.3419989;48.2171429
aichholzgasse;60200028;16.3240596;48.1803484
nußdorfer straße alserbachstraße;60200029;16.3549526;48.2247859
altdorferstraße;60200030;16.3493741;48.1686968
alte donau;60200031;16.4242307;48.2379564
ratschkygasse;60200032;16.3236104;48.177599
altes landgut;60200033;16.3834292;48.1616626
althanstraße;60200034;16.359552;48.2288373
breitenfurter straße altmannsdorfer straße;60200035;16.3166125;48.1655993
pfeiffenbergergasse;60200036;16.2610068;48.1946622
am fasangarten;60200037;16.3045931;48.171255
zanggasse;60200038;16.4844448;48.2388
am heidjöchl;60200039;16.4878943;48.2370829
am himmelreich;60200040;16.4378941;48.1639635
am hundsturm;60200041;16.3481704;48.1876795
am kanal;60200042;16.4101002;48.1700208
am kanal hasenleitengasse;60200043;16.4184276;48.1636759
am modenapark;60200044;16.3826208;48.1990992
am platz;60200045;16.3014849;48.1860564
am rosenhügel;60200046;16.2908938;48.1618783
reichsbrücke;60200047;16.4124179;48.2298367
am schöpfwerk;60200048;16.3246076;48.1612312
am spiegeln;60200049;16.2821981;48.1522782
am spitz;60200050;16.3973801;48.2582053
am tabor;60200051;16.3834742;48.2251031
fünfhausgasse;60200052;16.3354412;48.1890869
gesundheitszentrum süd;60200053;16.3451341;48.169907
ameisbachzeile;60200054;16.2921604;48.2013266
ameisgasse;60200055;16.2995176;48.1938538
neubaugasse;60200056;16.3502006;48.1982909
ammerweg;60200057;16.2604768;48.2185136
amongasse;60200058;16.4694519;48.2301838
an den steinfeldern;60200059;16.2981162;48.1373112
an den alten schanzen;60200060;16.4898437;48.2263838
an den langen lüssen;60200061;16.3419091;48.2526549
an der bien;60200062;16.4802946;48.2069425
an der niederhaid;60200063;16.2697385;48.2041346
liebhartstal;60200065;16.2919089;48.2157482
angermayergasse;60200066;16.2649235;48.1843914
anschützgasse;60200067;16.3230535;48.1903745
anton bosch gasse;60200068;16.3875166;48.2694419
anton böck gasse;60200069;16.3897803;48.2964021
anton krieger gasse;60200070;16.2703852;48.1428202
doningasse;60200071;16.4412089;48.2518294
anton störck gasse;60200072;16.3863667;48.2649392
antonigasse;60200073;16.3297818;48.2259529
anzengruberstraße;60200074;16.2238256;48.2139345
apostelgasse;60200075;16.3981347;48.2004883
aquäduktgasse;60200076;16.2720202;48.1337201
arbeitergasse gürtel;60200077;16.3459605;48.184056
arbeiterinnenstrand;60200078;16.4141067;48.2432393
argentinierstraße;60200079;16.3767188;48.1885359
armbrustergasse;60200080;16.3555365;48.2539109
arminenstraße;60200081;16.4375887;48.2362811
arndtstraße;60200082;16.337184;48.1837685
breitenleer straße arnikaweg;60200083;16.4798634;48.2514466
arsenal;60200084;16.3842108;48.1836248
artariastraße;60200085;16.2813447;48.2424436
arthaberplatz;60200086;16.3721644;48.1724951
artillerieplatz;60200087;16.4727218;48.1639455
aspernallee;60200088;16.4451974;48.1970215
